Designator,ManufacturerTU,PartNumber
"R65","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-10 ךÎל±5 %-Ò-À"
"R66","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,25-100 Îל±5 %-Ò-À"
"R67","ÎÆ0.467.164ÒÓ","Ð1-8Â-1,0-0,15 Îל±20 %-À"
"R68","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-2 ךÎל±5 %-Ò-À"
"R69","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-2 ךÎל±5 %-Ò-À"
"R70","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-2 ךÎל±5 %-Ò-À"
"R71","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-2 ךÎל±5 %-Ò-À"
"R72","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-2 ךÎל±5 %-Ò-À"
"R73","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-2 ךÎל±5 %-Ò-À"
"R74","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-2 ךÎל±5 %-Ò-À"
"R75","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-2 ךÎל±5 %-Ò-À"
"R76","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-1 ךÎל±5 %-Ò-À"
"R77","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-1 ךÎל±5 %-Ò-À"
"R78","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-1 ךÎל±5 %-Ò-À"
"R79","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,063-1 ךÎל±5 %-Ò-À"
"R80","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,25-100 Îל±5 %-Ò-À"
"R81","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,25-100 Îל±5 %-Ò-À"
"R82","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-20 ךÎל±5 %-Ò-À"
"R83","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-20 ךÎל±5 %-Ò-À"
"R84","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-20 ךÎל±5 %-Ò-À"
"R85","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-20 ךÎל±5 %-Ò-À"
"R86","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-100 ךÎל±5 %-Ò-À"
"R87","ÎÆ0.467.164ÒÓ","Ð1-8Â-0,125-1,5 ךÎל±5 %-Ò-À"
"VD1","","HER307"
"VD2","","SMBJ58CA"
"VD3","ÀÅ‗Ð.432120.206ÒÓ","Äטמה Øמעעךט 3Ä713À"
"VD4","","SMBJ18CA"
"VD5","","SMBJ18CA"
"VD6","","SMBJ18CA"
"VD7","","SMBJ18CA"
"VD8","","Äטמה חאשטעםûי SMBJ5.0CA-TR"
"VD9","","Äטמה חאשטעםûי SMBJ5.0CA-TR"
"VD10","","SMBJ18CA"
"VD11","","SMBJ18CA"
"VD12","","SMBJ18CA"
"VD13","","SMBJ18CA"
"VD14","","Äטמה חאשטעםûי SMBJ5.0CA-TR"
"VD15","","Äטמה חאשטעםûי SMBJ5.0CA-TR"
"VD16","","Äטמה חאשטעםûי SMBJ5.0CA-TR"
"XP1","ÐÞÌÊ.430420.011ÒÓ","Âטכךא ÑÍÏ346-40ÂÏ22-2-Â"
"XP2","ÐÞÌÊ.430420.011ÒÓ","Âטכךא ÑÍÏ346-40ÂÏ22-2-Â"
"XS1","","Ðמחועךא L-KLS1-151-W"
