Designator,ManufacturerTU,PartNumber
"R143","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R144","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R145","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"R146","ОЖ0.467.164ТУ","Р1-8В-0,063-10 кОм±5 %-Т-А"
"VD1","","Диод защитный SMBJ5.0CA-TR"
"VD2","","Диод защитный SMBJ5.0CA-TR"
"VD3","","Диод защитный SMBJ5.0CA-TR"
"VD4","","Диод защитный SMBJ5.0CA-TR"
"VD5","","Диод защитный SMBJ5.0CA-TR"
"VD6","аА0.339.582ТУ","Набор диодов 2Д706АС9"
"VD7","","Диод защитный SMBJ12.0CA-TR"
"VD8","","Диод защитный SMBJ12.0CA-TR"
"VD9","","Диод защитный SMBJ12.0CA-TR"
"VD10","","Диод защитный SMBJ12.0CA-TR"
"VD11","","Диод защитный SMBJ12.0CA-TR"
"VD12","","Диод защитный SMBJ12.0CA-TR"
"VD13","","Диод защитный SMBJ5.0CA-TR"
"VD14","","Диод защитный SMBJ5.0CA-TR"
"VD15","","Диод защитный SMBJ5.0CA-TR"
"VD16","","Диод защитный SMBJ5.0CA-TR"
"XP1","РЮМК.430420.011ТУ","Вилка СНП346-34ВП22-2-В"
"XP2","РЮМК.430420.011ТУ","Вилка СНП346-10ВП22-2-В"
"XP3","РЮМК.430420.011ТУ","Вилка СНП346-4ВП22-2-В"
"XP4","РЮМК.430420.011ТУ","Вилка СНП346-8ВП22-2-В"
"XP5","РЮМК.430420.011ТУ","Вилка СНП346-2ВП22-1-В"
"XP6","РЮМК.430420.011ТУ","Вилка СНП346-2ВП22-1-В"
"XP7","РЮМК.430420.011ТУ","Вилка СНП346-8ВП22-2-В"
"XP8","РЮМК.430420.011ТУ","Вилка СНП346-2ВП22-1-В"
"XP9","РЮМК.430420.011ТУ","Вилка СНП346-3ВП22-1-В"
"XP10","РЮМК.430420.011ТУ","Вилка СНП346-4ВП22-1-В"
"XP11","РЮМК.430420.011ТУ","Вилка СНП346-40ВП32-2-В"
"XP12","РЮМК.430420.011ТУ","Вилка СНП346-40ВП32-2-В"
"XS1","РЮМК.430420.011ТУ","Розетка СНП346-40РП22-2-В"
"XS2","РЮМК.430420.011ТУ","Розетка СНП346-40РП22-2-В"
"ZQ1","ТУ6321-006-07604008-04","Резонатор кварцевый РК456МДУ-6ДТ-8M-20 пФ-В"
